College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State,Rank,Lat,Long
University of California,21-Jul,480801183,46,Various,CA,1,37.871853,-122.258423
Arizona State University,21-Jul,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001
Columbia University,21-Jul,232109000,100,Various,NY,3,40.80819,-73.958305
"University at Buffalo, the State University of New York",21-Jul,216403405,102,"Solar, Wind",NY,4,43.0004,-78.7879
Boston University,21-Jul,205000000,100,Wind,MA,5,42.3339865,-71.1047742
Stanford University,21-Jul,186275157,69,Various,CA,6,37.428993,-122.16986
University of Maryland,21-Jul,171274825,68,"Small-hydro, Solar, Wind",MD,7,38.980297,-76.93312
Georgetown University,21-Jul,152404000,127,Wind,DC,8,38.90832,-77.0713
University of Utah,21-Jul,129873801,43,"Geothermal, Solar",UT,9,40.277779,-111.71389
Carnegie Mellon University,21-Jul,125005846,111,"Solar, Wind",PA,10,40.444603,-79.941986
Saint Louis University,21-Jul,125000000,105,Wind,MO,11,38.63546,-90.233826
University of Oklahoma,21-Jul,122065000,72,Wind,OK,12,35.205894,-97.445717
Northeastern University,21-Jul,106000000,100,Wind,MA,13,42.3398,-71.08961
Northwestern University,21-Jul,100197017,40,"Solar, Wind",IL,14,42.05499,-87.6772
The Ohio State University,21-Jul,99742483,17,Wind,OH,15, 39.999387,-83.02271
Oklahoma State University,21-Jul,88769890,67,Wind,OK,16,36.121414,-97.06839
University of North Texas,21-Jul,80324884,74,"Solar, Wind",TX,17,33.210663,-97.14733
George Washington University,21-Jul,77797575,57,"Biomass, Solar",DC,18,38.89845,-77.04943
University of Missouri,21-Jul,75528949,32,"Biomass, Solar, Wind",MO,19,38.951561,-92.328636
Ohio University,21-Jul,69670685,73,"Solar, Wind",OH,20,39.32434355, -82.1014252739
Rochester Institute of Technology,21-Jul,69543062,97,Various,NY,21,43.16103,-77.610924
University of Minnesota,21-Jul,61519736,16,"Solar, Wind",MN,22,44.97587,-93.23449
University of Virginia,21-Jul,61461216,18,Solar,VA,23,38.031788,-78.50434
University of Vermont,21-Jul,59759945,101,"Biogas, Solar, Wind",VT,24,44.469288,-73.20026
Tarrant County College District,21-Jul,57130346,100,"Solar, Wind",TX,25,32.747883,-97.32769
Southern Illinois University Edwardsville,21-Jul,55957182,100,Wind,IL,26,38.7933,-89.9961
Temple University,21-Jul,48924000,27,Various,PA,27,39.980225,-75.15758
City Colleges of Chicago,21-Jul,46544696,100,Wind,IL,28,41.87813,-87.63418
University of Wisconsin,21-Jul,41776175,10,"Solar, Wind",WI,29,43.074787,-89.403564
American University,21-Jul,40799344,74,Various,DC,30,38.93695,-77.08947
University of California,21-Apr,328380213,30,"Biogas, Biomass, Solar, Wind",CA,1,37.871853,-122.258423
Arizona State University,21-Apr,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001
Columbia University,21-Apr,232109000,100,Various,NY,3,40.80819,-73.958305
"University at Buffalo, the State University of New York",21-Apr,216403405,102,"Solar, Wind",NY,4,43.0004,-78.7879
Boston University,21-Apr,205000000,100,Wind,MA,5,42.3339865,-71.1047742
Stanford University,21-Apr,186275157,69,Various,CA,6,37.428993,-122.16986
University of Maryland,21-Apr,171274825,68,"Small-hydro, Solar, Wind",MD,7,38.980297,-76.93312
Georgetown University,21-Apr,152404000,127,Wind,DC,8,38.90832,-77.0713
University of Utah,21-Apr,148673985,49,"Geothermal, Solar",UT,9,40.277779,-111.71389
Carnegie Mellon University,21-Apr,125005846,111,"Solar, Wind",PA,10,40.444603,-79.941986
University of Oklahoma,21-Apr,125000000,105,Wind,OK,11,35.205894,-97.445717
Saint Louis University,21-Apr,122065000,72,Wind,MO,12,38.63546,-90.233826
Northeastern University,21-Apr,106000000,100,Wind,MA,13,42.3398,-71.08961
Northwestern University,21-Apr,100197017,40,"Solar, Wind",IL,14,42.05499,-87.6772
The Ohio State University,21-Apr,99742483,17,Wind,OH,15, 39.999387,-83.02271
Oklahoma State University,21-Apr,88769890,67,Wind,OK,16,36.121414,-97.06839
University of North Texas,21-Apr,80324884,74,"Solar, Wind",TX,17,33.210663,-97.14733
George Washington University,21-Apr,77797575,57,"Biomass, Solar",DC,18,38.89845,-77.04943
University of Missouri,21-Apr,75528949,32,"Biomass, Solar, Wind",MO,19,38.951561,-92.328636
Ohio University,21-Apr,69670685,73,"Solar, Wind",OH,20,39.32434355, -82.1014252739
Rochester Institute of Technology,21-Apr,69543062,97,Various,NY,21,43.16103,-77.610924
University of Minnesota,21-Apr,61519736,16,"Solar, Wind",MN,22,44.97587,-93.23449
University of Virginia,21-Apr,61461216,18,Solar,VA,23,38.031788,-78.50434
University of Vermont,21-Apr,59759945,101,"Biogas, Solar, Wind",VT,24,44.469288,-73.20026
Southern Illinois University Edwardsville,21-Apr,55957182,100,Wind,IL,25,38.7933,-89.9961
City Colleges of Chicago,21-Apr,54429677,100,Wind,IL,26,41.87813,-87.63418
Temple University,21-Apr,48924000,27,Various,PA,27,39.980225,-75.15758
Drexel University,21-Apr,43913000,52,"Solar, Wind",PA,28,39.95411,-75.186905
American University,21-Apr,40799344,74,Various,DC,29,39.95411,-77.08947
Syracuse University,21-Apr,40250000,37,Wind,NY,30,43.03762,-76.13297
University of California,21-Jan,328380213,30,"Biogas, Biomass, Solar, Wind",CA,1,37.871853,-122.258423
Arizona State University,21-Jan,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001
Columbia University,21-Jan,277892000,100,Various,NY,3,40.80819,-73.958305
"University at Buffalo, the State University of New York",21-Jan,227985303,100,"Biomass, Solar",NY,4,43.0004,-78.7879
Boston University,21-Jan,205000000,100,Wind,MD,5,42.3339865,-71.1047742
University of Maryland,21-Jan,204194825,70,"Small-hydro, Solar, Wind",MD,6,38.980297,-76.93312
Stanford University,21-Jan,190930395,67,Various,CA,7,37.428993,-122.16986
Georgetown University,21-Jan,152404000,127,Wind,DC,8,38.90832,-77.0713
University of Utah,21-Jan,148673985,49,Geothermal,UT,9,40.277779,-111.71389
Carnegie Mellon University,21-Jan,134008880,105,"Solar, Wind",PA,10,40.444603,-79.941986
University of Oklahoma,21-Jan,132336000,70,Wind,OK,11,35.205894,-97.445717
Saint Louis University,21-Jan,125000000,105,Wind,MO,12,38.63546,-90.233826
Northwestern University,21-Jan,100202000,38,"Solar, Wind",IL,13,42.05499,-87.6772
The Ohio State University,21-Jan,99742483,17,Wind,OH,14, 39.999387,-83.02271
Oklahoma State University,21-Jan,88769890,67,Wind,OK,15,36.121414,-97.06839
University of North Texas,21-Jan,80331867,67,"Solar, Wind",TX,16,33.210663,-97.14733
University of Minnesota,21-Jan,75528949,32,"Biomass, Solar, Wind",MN,17,44.97587,-93.23449
George Washington University,21-Jan,73464846,50,Solar,DC,18,38.89845,-77.04943
Rochester Institute of Technology,21-Jan,70711082,92,"Solar, Wind",NY,19,43.16103,-77.610924
University of New Hampshire,21-Jan,69871000,100,Wind,NH,20,43.13861,-70.937706
Colorado State University,21-Jan,63562340,37,Various,CO,21,40.57479,-105.080795
University of Virginia,21-Jan,61461216,18,Solar,VA,22,38.031788,-78.50434
University of Vermont,21-Jan,59759945,101,"Biogas, Solar, Wind",VT,23,44.469288,-73.20026
University of Minnesota,21-Jan,58410288,15,Various,MN,24,44.97587,-93.23449
Southern Illinois University Edwardsville,21-Jan,55957182,100,Wind,IL,25,38.7933,-89.9961
City Colleges of Chicago,21-Jan,54429677,100,Wind,IL,26,41.87813,-87.63418
Ohio University,21-Jan,53206118,50,"Solar, Wind",OH,27,39.32434355, -82.1014252739
"University of Tennessee, Knoxville",21-Jan,50058020,21,"Solar, Wind",TN,28,35.950867,-83.930984
Temple University,21-Jan,48924000,27,Various,PA,29,39.980225,-75.15758
Drexel University,21-Jan,43913000,52,"Solar, Wind",PA,30,39.95411,-75.186905
University of California,20-Oct,328380213,30,"Biogas, Biomass, Solar, Wind",CA,1,37.871853,-122.258423
Arizona State University,20-Oct,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001
Columbia University,20-Oct,277892000,100,Various,NY,3,40.80819,-73.958305
"University at Buffalo, the State University of New York",20-Oct,227985303,100,"Biomass, Solar",NY,4,43.0004,-78.7879
University of Maryland,20-Oct,204194825,70,"Small-hydro, Solar, Wind",MD,5,38.980297,-76.93312
Stanford University,20-Oct,190930395,67,Various,CA,6,37.428993,-122.16986
Georgetown University,20-Oct,159149526,130,Wind,DC,7,38.90832,-77.0713
University of Utah,20-Oct,148673985,49,"Geothermal, Solar",UT,8,40.277779,-111.71389
Carnegie Mellon University,20-Oct,134008880,105,"Solar, Wind",PA,9,40.444603,-79.941986
University of Oklahoma,20-Oct,132336000,70,Wind,OK,10,35.205894,-97.445717
Saint Louis University,20-Oct,125000000,105,Wind,MO,11,38.63546,-90.233826
Northwestern University,20-Oct,100202000,38,"Solar, Wind",IL,12,42.05499,-87.6772
The Ohio State University,20-Oct,99742483,17,"Biomass, Solar, Wind",OH,13, 39.999387,-83.02271
Oklahoma State University,20-Oct,88769890,67,Solar,OK,14,36.121414,-97.06839
University of North Texas,20-Oct,80331867,67,"Solar, Wind",TX,15,33.210663,-97.14733
University of Missouri,20-Oct,75528949,32,"Biomass, Solar, Wind",MO,16,38.951561,-92.328636
George Washington University,20-Oct,73464846,50,Solar,DC,17,38.89845,-77.04943
Rochester Institute of Technology,20-Oct,70711082,92,"Solar, Wind",NY,18,43.16103,-77.610924
University of New Hampshire,20-Oct,69871000,100,Wind,NH,19,43.13861,-70.937706
Colorado State University,20-Oct,63562340,37,Various,CO,20,40.57479,-105.080795
University of Virginia,20-Oct,61461216,18,Solar,VA,21,38.031788,-78.50434
University of Vermont,20-Oct,59759945,101,"Biogas, Solar, Wind",VT,22,44.469288,-73.20026
University of Minnesota,20-Oct,58410288,15,Various,MN,23,44.97587,-93.23449
City Colleges of Chicago,20-Oct,54429677,100,Wind,IL,24,41.87813,-87.63418
American University,20-Oct,53982144,97,Various,DC,25,38.93695,-77.08947
Ohio University,20-Oct,53206118,50,"Solar, Wind",OH,26,39.32434355, -82.1014252739
"University of Tennessee, Knoxville",20-Oct,50058020,21,"Solar, Wind",TN,27,35.950867,-83.930984
Temple University,20-Oct,48924000,25,Various,PA,28,39.980225,-75.15758
Drexel University,20-Oct,43913000,52,"Solar, Wind",PA,29,39.95411,-75.186905
University of Pittsburgh,20-Oct,41049070,19,Various,PA,30,40.4446,-79.9533
University of California,20-Jul,328380213,30,"Biogas, Biomass, Solar, Wind",CA,1,37.871853,-122.258423
Arizona State University,20-Jul,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001
Columbia University,20-Jul,270897887,100,Wind,NY,3,40.80819,-73.958305
"University at Buffalo, the State University of New York",20-Jul,227985303,100,"Biomass, Solar",NY,4,43.0004,-78.7879
University of Maryland,20-Jul,204194825,92,"Small-hydro, Solar, Wind",MD,5,38.980297,-76.93312
Stanford University,20-Jul,190930395,67,Various,CA,6,37.428993,-122.16986
Georgetown University,20-Jul,159149526,130,Wind,DC,7,38.90832,-77.0713
"University of Tennessee, Knoxville",20-Jul,158044000,67,"Solar, Wind",TN,8,35.950867,-83.930984
University of Utah,20-Jul,148673985,49,"Geothermal, Solar",UT,9,40.277779,-111.71389
Carnegie Mellon University,20-Jul,134008880,105,"Solar, Wind",PA,10,40.444603,-79.941986
University of Oklahoma,20-Jul,132336000,70,Wind,OK,11,35.205894,-97.445717
Saint Louis University,20-Jul,125000000,105,Wind,MO,12,38.63546,-90.233826
Northwestern University,20-Jul,100202000,38,"Solar, Wind",IL,13,42.05499,-87.6772
The Ohio State University,20-Jul,99742483,17,Wind,OH,14, 39.999387,-83.02271
Oklahoma State University,20-Jul,82474642,60,Wind,OK,15,36.121414,-97.06839
University of Missouri,20-Jul,79114109,33,"Biomass, Solar, Wind",MO,16,38.951561,-92.328636
George Washington University,20-Jul,73464846,50,"Solar, Wind",DC,17,38.89845,-77.04943
Rochester Institute of Technology,20-Jul,70711082,92,"Solar, Wind",NY,18,43.16103,-77.610924
University of New Hampshire,20-Jul,69871000,100,Wind,NH,19,43.13861,-70.937706
Colorado State University,20-Jul,63562340,37,Various,CO,20,40.57479,-105.080795
University of Virginia,20-Jul,61461216,18,Solar,VA,21,38.031788,-78.50434
Ohio University,20-Jul,60689366,50,"Solar, Wind",OH,22,39.32434355, -82.1014252739
University of Vermont,20-Jul,59759945,101,"Biogas, Solar, Wind",VT,23,44.469288,-73.20026
University of Minnesota,20-Jul,58410288,15,Various,MN,24,44.97587,-93.23449
Southern Illinois University Edwardsville,20-Jul,56109545,100,Wind,IL,25,38.7933,-89.9961
City Colleges of Chicago,20-Jul,54429677,100,Wind,IL,26,41.87813,-87.63418
American University,20-Jul,53982144,97,Various,DC,27,38.93695,-77.08947
Temple University,20-Jul,48924000,25,Various,PA,28,39.980225,-75.15758
Drexel University,20-Jul,43913000,52,"Solar, Wind",PA,29,39.95411,-75.186905
University of Pittsburgh,20-Jul,41049070,19,Various,PA,30,40.4446,-79.9533
University of California,20-Apr,328380213,30,"Biogas, Biomass, Solar, Wind",CA,1,37.871853,-122.258423
Arizona State University,20-Apr,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001
Columbia University,20-Apr,270897887,100,Wind,NY,3,40.80819,-73.958305
"University at Buffalo, the State University of New York",20-Apr,227985303,100,"Biomass, Solar",NY,4,43.0004,-78.7879
University of Pennsylvania,20-Apr,200000000,71,Wind,PA,5,39.952892,-75.19277
Stanford University,20-Apr,190930395,67,Various,CA,6,37.428993,-122.16986
Georgetown University,20-Apr,159149526,130,Wind,DC,7,38.90832,-77.0713
"University of Tennessee, Knoxville",20-Apr,158044000,67,"Solar, Wind",TN,8,35.950867,-83.930984
University of Utah,20-Apr,148673985,49,"Geothermal, Solar",UT,9,40.277779,-111.71389
University of Maryland,20-Apr,146567825,53,Various,MD,10,38.980297,-76.93312
Carnegie Mellon University,20-Apr,134008880,105,"Solar, Wind",PA,11,40.444603,-79.941986
University of Oklahoma,20-Apr,132336000,70,Wind,OK,12,35.205894,-97.445717
Saint Louis University,20-Apr,125000000,105,Wind,MO,13,38.63546,-90.233826
University of Missouri,20-Apr,104001209,42,"Biomass, Solar, Wind",MO,14,38.951561,-92.328636
Northwestern University,20-Apr,100370800,39,"Solar, Wind",IL,15,42.05499,-87.6772
The Ohio State University,20-Apr,99742483,17,Wind,OH,16, 39.999387,-83.02271
Drexel University,20-Apr,87766000,103,"Solar, Wind",PA,17,39.95411,-75.186905
Oklahoma State University,20-Apr,82474642,60,Wind,OK,18,36.121414,-97.06839
George Washington University,20-Apr,73464846,50,Solar,DC,19,38.89845,-77.04943
University of Virginia,20-Apr,70936294,21,Solar,VA,20,38.031788,-78.50434
Rochester Institute of Technology,20-Apr,70711082,92,"Solar, Wind",NY,21,43.16103,-77.610924
Ohio University,20-Apr,60689366,50,"Solar, Wind",OH,22,39.32434355, -82.1014252739
University of Vermont,20-Apr,59759945,101,"Biogas, Solar, Wind",VT,23,44.469288,-73.20026
American University,20-Apr,59476806,107,Various,DC,24,38.93695,-77.08947
University of Minnesota,20-Apr,57800000,16,"Solar, Wind",MN,25,44.97587,-93.23449
Southern Illinois University Edwardsville,20-Apr,56109545,100,Wind,IL,26,38.7933,-89.9961
City Colleges of Chicago,20-Apr,54429677,100,Wind,IL,27,41.87813,-87.63418
University of New Hampshire,20-Apr,46469000,65,Wind,NH,28,43.13861,-70.937706
Temple University,20-Apr,44000000,21,Wind,PA,29,39.980225,-75.15758
Syracuse University,20-Apr,40250000,35,Wind,NY,30,43.03762,-76.13297
University of California,20-Jan,273347222,25,Various,CA,1,37.871853,-122.258423
Columbia University,20-Jan,270897887,100,Wind,NY,2,40.80819,-73.958305
"University at Buffalo, the State University of New York",20-Jan,224325000,100,"Biomass, Solar",NY,3,43.0004,-78.7879
University of Pennsylvania,20-Jan,200000000,71,Wind,PA,4,39.952892,-75.19277
Georgetown University,20-Jan,159149526,130,Wind,DC,5,38.90832,-77.0713
Stanford University,20-Jan,159021886,56,Solar,CA,6,37.428993,-122.16986
"University of Tennessee, Knoxville",20-Jan,158044000,67,"Solar, Wind",TN,7,35.950867,-83.930984
University of Utah,20-Jan,148673985,49,"Geothermal, Solar",UT,8,40.277779,-111.71389
University of Maryland,20-Jan,146567825,53,Various,MD,9,38.980297,-76.93312
University of Oklahoma,20-Jan,135692000,70,Wind,OK,10,35.205894,-97.445717
Carnegie Mellon University,20-Jan,132396967,100,"Solar, Wind",PA,11,40.444603,-79.941986
Saint Louis University,20-Jan,125000000,105,Wind,MO,12,38.63546,-90.233826
University of North Texas,20-Jan,107250000,100,"Solar, Wind",TX,13,33.210663,-97.14733
Arizona State University,20-Jan,105000000,30,"Solar, Wind",AZ,14,33.424564,-111.928001
University of Missouri,20-Jan,104001209,42,"Biogas, Solar, Wind",MO,15,38.951561,-92.328636
Northwestern University,20-Jan,100370800,39,"Solar, Wind",IL,16,42.05499,-87.6772
Oklahoma State University,20-Jan,93827563,67,Wind,OK,17,36.121414,-97.06839
Drexel University,20-Jan,87766000,104,"Solar, Wind",PA,18,39.95411,-75.186905
The Ohio State University,20-Jan,85505575,14,Wind,OH,19, 39.999387,-83.02271
George Washington University,20-Jan,78393980,53,Solar,DC,20,38.89845,-77.04943
University of Virginia,20-Jan,70936294,21,Solar,VA,21,38.031788,-78.50434
University of Wisconsin,20-Jan,64424214,14,"Biogas, Solar, Wind",WI,22,43.074787,-89.403564
Ohio University,20-Jan,60689366,50,"Solar, Wind",OH,23,39.32434355, -82.1014252739
American University,20-Jan,59476806,107,Various,DC,24,38.93695,-77.08947
University of Minnesota,20-Jan,57800000,16,"Solar, Wind",MN,25,44.97587,-93.23449
University of Vermont,20-Jan,57716250,96,"Biogas, Solar, Wind",VT,26,44.469288,-73.20026
Southern Illinois University Edwardsville,20-Jan,56109545,100,Wind,IL,27,38.7933,-89.9961
University of New Hampshire,20-Jan,46469000,65,Wind,NH,28,43.13861,-70.937706
Temple University,20-Jan,44000000,21,Wind,PA,29,39.980225,-75.15758
Syracuse University,20-Jan,40250000,35,Wind,NY,30,43.03762,-76.13297
